dist	strand	type
-43	+	model1
-62	+	model1
-15	+	model1
-40	+	model1
17	+	model1
246	+	model1
57	+	model1
170	+	model1
-25	+	model1
3	+	model1
3	+	model1
-47	+	model1
-47	+	model1
-45	+	model1
74	-	model1
-14	+	model1
0	+	model1
6	+	model1
2	+	model1
-1	+	model1
6	+	model1
6	+	model1
-2	+	model1
0	+	model1
0	+	model1
0	+	model1
7	+	model1
7	+	model1
10	+	model1
-7	+	model1
132	+	model1
112	+	model1
-16	+	model1
58	+	model1
-170	+	model1
-12	+	model1
-48	+	model1
3	+	model1
-72	+	model1
254	+	model1
-62	+	model1
-20	-	model1
-20	-	model1
-56	-	model1
13	-	model1
42	-	model1
36	-	model1
12	-	model1
3	-	model1
24	-	model1
140	-	model1
-27	-	model1
32	-	model1
-10	-	model1
108	-	model1
99	-	model1
47	-	model1
203	-	model1
-21	-	model1
115	-	model1
147	-	model1
-55	-	model1
-29	-	model1
-2	-	model1
170	-	model1
-78	-	model1
-157	+	model1
-62	+	model1
-40	+	model1
157	-	model1
157	-	model1
-57	+	model1
57	+	model1
170	+	model1
3	+	model1
3	+	model1
-47	+	model1
-45	+	model1
74	-	model1
3	+	model1
3	+	model1
6	+	model1
1	+	model1
3	+	model1
-7	+	model1
-7	+	model1
-177	+	model1
-33	+	model1
-18	+	model1
-4	-	model1
139	-	model1
15	+	model1
0	+	model1
-17	+	model1
66	+	model1
-68	+	model1
-50	+	model1
-1	+	model1
-1	+	model1
50	-	model1
58	-	model1
133	-	model1
133	-	model1
-48	+	model1
1	+	model1
35	+	model1
3	+	model1
-3	+	model1
-179	+	model1
-1	+	model1
-46	+	model1
-12	+	model1
-7	+	model1
-7	+	model1
-177	+	model1
-177	+	model1
-18	+	model1
-20	-	model1
-5	-	model1
-4	-	model1
139	-	model1
24	-	model1
92	-	model1
78	-	model1
55	-	model1
-3	-	model1
100	-	model1
-1	-	model1
10	+	model1
-109	+	model1
-22	+	model1
-1	-	model1
1	+	model1
1	+	model1
37	+	model1
-1	+	model1
-12	+	model1
-7	+	model1
-7	+	model1
-177	+	model1
-177	+	model1
0	+	model1
-33	+	model1
-18	+	model1
34	-	model1
-5	-	model1
-4	-	model1
139	-	model1
27	-	model1
-10	-	model1
-10	-	model1
-1	-	model1
19	+	model1
-54	+	model1
1	+	model1
60	-	model1
-5	-	model1
-1	-	model1
-126	-	model1
0	+	model1
-1	+	model1
2	+	model1
-85	+	model1
35	+	model1
37	+	model1
37	+	model1
-179	+	model1
-1	+	model1
195	+	model1
-46	+	model1
-17	+	model1
-5	+	model1
-12	+	model1
-7	+	model1
-7	+	model1
-177	+	model1
-177	+	model1
0	+	model1
62	+	model1
-18	+	model1
-147	+	model1
5	+	model1
-20	-	model1
111	-	model1
-5	-	model1
-4	-	model1
139	-	model1
-23	-	model1
-20	-	model1
-20	-	model1
-20	-	model1
-20	-	model1
39	-	model1
84	-	model1
17	-	model1
96	-	model1
-3	-	model1
55	-	model1
100	-	model1
-1	-	model1
-109	+	model1
131	+	model1
-22	+	model1
-1	-	model1
187	+	model1
3	+	model1
1	+	model1
-15	+	model1
-15	+	model1
75	+	model1
75	+	model1
-29	+	model1
-12	-	model1
-12	-	model1
0	-	model1
-11	-	model1
-17	-	model1
10	-	model1
-5	-	model1
29	-	model1
86	-	model1
44	-	model1
-11	-	model1
-125	+	model1
-1	-	model1
0	+	model1
-164	+	model1
4	+	model1
2	+	model1
