dist	strand	type
-16	+	model2only
74	+	model2only
-23	+	model2only
28	-	model2only
28	-	model2only
28	-	model2only
-129	-	model2only
-129	-	model2only
-84	-	model2only
19	-	model2only
19	-	model2only
19	-	model2only
-13	-	model2only
76	-	model2only
70	+	model2only
160	+	model2only
14	+	model2only
14	+	model2only
51	+	model2only
143	+	model2only
104	+	model2only
63	+	model2only
-8	+	model2only
5	+	model2only
-49	+	model2only
-59	-	model2only
-73	+	model2only
16	+	model2only
43	+	model2only
-115	+	model2only
-151	+	model2only
101	-	model2only
12	-	model2only
89	-	model2only
59	+	model2only
50	+	model2only
-111	-	model2only
0	+	model2only
-21	-	model2only
5	-	model2only
-3	-	model2only
-147	-	model2only
-5	-	model2only
-72	+	model2only
-125	-	model2only
-125	-	model2only
18	+	model2only
5	+	model2only
-37	+	model2only
6	+	model2only
-41	+	model2only
-11	-	model2only
-50	-	model2only
57	-	model2only
78	-	model2only
78	-	model2only
18	-	model2only
-18	-	model2only
-18	-	model2only
10	-	model2only
-3	-	model2only
-31	+	model2only
-31	+	model2only
1	+	model2only
5	+	model2only
5	+	model2only
-27	+	model2only
-12	-	model2only
74	+	model2only
-39	-	model2only
58	-	model2only
-29	-	model2only
5	-	model2only
-182	-	model2only
95	-	model2only
-124	+	model2only
62	-	model2only
-23	-	model2only
-2	-	model2only
59	+	model2only
115	+	model2only
-49	-	model2only
67	-	model2only
-122	+	model2only
-137	+	model2only
-31	-	model2only
-115	-	model2only
-27	-	model2only
78	-	model2only
14	-	model2only
14	-	model2only
-1	-	model2only
-62	+	model2only
-62	+	model2only
-62	+	model2only
-62	+	model2only
-56	+	model2only
80	+	model2only
-102	+	model2only
43	+	model2only
1	+	model2only
11	+	model2only
-61	-	model2only
-27	+	model2only
-27	+	model2only
-27	+	model2only
-27	+	model2only
-144	+	model2only
-55	+	model2only
139	+	model2only
-119	+	model2only
19	+	model2only
19	+	model2only
-17	-	model2only
-74	-	model2only
-74	-	model2only
-35	-	model2only
55	-	model2only
55	-	model2only
-11	-	model2only
-167	-	model2only
-46	-	model2only
-115	-	model2only
56	-	model2only
56	-	model2only
-65	-	model2only
185	-	model2only
185	-	model2only
16	-	model2only
31	+	model2only
-32	+	model2only
-32	+	model2only
-188	+	model2only
83	+	model2only
-139	+	model2only
-63	+	model2only
28	+	model2only
-160	+	model2only
-123	+	model2only
100	-	model2only
-25	-	model2only
37	-	model2only
-111	-	model2only
113	-	model2only
-69	-	model2only
-69	-	model2only
8	-	model2only
75	-	model2only
66	-	model2only
-95	-	model2only
-95	-	model2only
59	+	model2only
59	+	model2only
-3	+	model2only
-79	+	model2only
167	-	model2only
-53	-	model2only
-54	-	model2only
44	+	model2only
-71	-	model2only
-71	-	model2only
14	+	model2only
-35	-	model2only
-35	-	model2only
-81	-	model2only
6	-	model2only
-50	-	model2only
-95	-	model2only
-95	-	model2only
-18	-	model2only
10	-	model2only
-3	+	model2only
-103	+	model2only
-141	+	model2only
-141	+	model2only
-13	+	model2only
-50	-	model2only
126	-	model2only
16	+	model2only
-9	+	model2only
183	-	model2only
-49	+	model2only
-36	+	model2only
213	-	model2only
213	-	model2only
-6	+	model2only
-52	+	model2only
-199	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
42	-	model2only
-82	+	model2only
-53	+	model2only
148	+	model2only
-68	-	model2only
-14	-	model2only
-14	-	model2only
-14	-	model2only
-15	+	model2only
-107	+	model2only
-5	+	model2only
-79	+	model2only
96	+	model2only
39	-	model2only
62	-	model2only
4	-	model2only
4	-	model2only
-13	-	model2only
171	+	model2only
171	+	model2only
-19	+	model2only
62	-	model2only
-46	+	model2only
-50	+	model2only
-12	-	model2only
99	+	model2only
-21	+	model2only
134	+	model2only
-9	+	model2only
-33	+	model2only
-129	+	model2only
-129	+	model2only
-129	+	model2only
-21	-	model2only
-16	+	model2only
143	+	model2only
-16	-	model2only
-8	-	model2only
-92	-	model2only
-92	-	model2only
-34	-	model2only
-34	-	model2only
-101	-	model2only
-101	-	model2only
-24	-	model2only
169	-	model2only
169	-	model2only
-132	-	model2only
-132	-	model2only
67	-	model2only
89	-	model2only
-86	-	model2only
121	+	model2only
121	+	model2only
-122	+	model2only
-80	-	model2only
-80	-	model2only
188	+	model2only
-28	+	model2only
214	+	model2only
214	+	model2only
-155	+	model2only
-121	-	model2only
74	+	model2only
98	+	model2only
98	+	model2only
98	+	model2only
-1	-	model2only
-109	+	model2only
-60	+	model2only
-44	+	model2only
90	+	model2only
-89	+	model2only
174	+	model2only
210	+	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
-165	-	model2only
97	-	model2only
-60	+	model2only
33	+	model2only
-44	+	model2only
23	+	model2only
23	+	model2only
-61	+	model2only
-61	+	model2only
90	+	model2only
27	-	model2only
-28	-	model2only
-73	-	model2only
255	-	model2only
-138	-	model2only
109	-	model2only
121	+	model2only
176	+	model2only
-152	+	model2only
-25	-	model2only
-25	-	model2only
13	+	model2only
1	+	model2only
-106	+	model2only
-106	+	model2only
-55	+	model2only
-228	+	model2only
-21	-	model2only
-21	-	model2only
-9	-	model2only
-11	-	model2only
-65	-	model2only
-205	-	model2only
83	+	model2only
83	+	model2only
109	+	model2only
-2	+	model2only
31	+	model2only
65	+	model2only
-19	+	model2only
-19	+	model2only
-50	-	model2only
-90	-	model2only
13	-	model2only
-9	+	model2only
100	+	model2only
100	+	model2only
-140	+	model2only
30	+	model2only
-124	+	model2only
85	+	model2only
-59	-	model2only
-59	-	model2only
-62	+	model2only
-62	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
42	-	model2only
17	+	model2only
104	-	model2only
-27	-	model2only
-27	-	model2only
62	-	model2only
-46	+	model2only
-139	+	model2only
179	+	model2only
-114	+	model2only
43	+	model2only
46	+	model2only
3	-	model2only
188	-	model2only
-138	-	model2only
45	-	model2only
97	-	model2only
47	-	model2only
24	+	model2only
124	+	model2only
-28	+	model2only
17	+	model2only
5	+	model2only
-43	+	model2only
116	-	model2only
-41	-	model2only
-41	-	model2only
-59	-	model2only
-59	-	model2only
-32	-	model2only
-191	+	model2only
-73	+	model2only
146	+	model2only
4	+	model2only
24	+	model2only
-25	+	model2only
-25	+	model2only
-35	-	model2only
-54	-	model2only
83	+	model2only
0	+	model2only
0	+	model2only
-232	+	model2only
0	+	model2only
0	+	model2only
-109	+	model2only
-109	+	model2only
-88	+	model2only
2	+	model2only
4	+	model2only
4	+	model2only
89	+	model2only
89	+	model2only
104	-	model2only
-131	-	model2only
-49	-	model2only
-94	-	model2only
74	+	model2only
137	+	model2only
137	+	model2only
31	+	model2only
-24	+	model2only
-113	+	model2only
98	+	model2only
98	+	model2only
98	+	model2only
98	+	model2only
11	+	model2only
11	+	model2only
-124	+	model2only
-109	+	model2only
-146	+	model2only
-42	-	model2only
-42	-	model2only
-8	-	model2only
108	-	model2only
-136	-	model2only
-89	+	model2only
185	+	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
-151	+	model2only
101	-	model2only
101	-	model2only
89	-	model2only
89	-	model2only
76	+	model2only
129	+	model2only
-217	+	model2only
-22	+	model2only
-22	+	model2only
-22	+	model2only
-22	+	model2only
-22	+	model2only
-22	+	model2only
187	+	model2only
-23	-	model2only
-56	-	model2only
-26	-	model2only
-104	+	model2only
-48	+	model2only
-11	+	model2only
-28	+	model2only
188	+	model2only
-19	+	model2only
-25	+	model2only
61	+	model2only
150	+	model2only
-15	+	model2only
-14	+	model2only
-157	+	model2only
-157	+	model2only
-191	+	model2only
-191	+	model2only
-191	+	model2only
-99	+	model2only
-99	+	model2only
-99	+	model2only
51	-	model2only
55	-	model2only
-13	-	model2only
-113	-	model2only
-78	-	model2only
-14	-	model2only
79	-	model2only
150	-	model2only
-89	-	model2only
88	+	model2only
-24	+	model2only
-103	+	model2only
-62	+	model2only
12	+	model2only
134	+	model2only
134	+	model2only
134	+	model2only
134	+	model2only
48	+	model2only
-146	+	model2only
-120	+	model2only
-120	+	model2only
74	+	model2only
-84	-	model2only
70	+	model2only
221	+	model2only
-76	+	model2only
-2	+	model2only
-61	+	model2only
179	+	model2only
215	+	model2only
-36	+	model2only
-11	-	model2only
-21	-	model2only
113	-	model2only
113	-	model2only
-1	+	model2only
109	+	model2only
-92	+	model2only
43	+	model2only
-151	+	model2only
5	+	model2only
5	+	model2only
135	+	model2only
135	+	model2only
12	-	model2only
89	-	model2only
-49	+	model2only
-41	-	model2only
-134	+	model2only
14	+	model2only
-50	+	model2only
-71	-	model2only
-151	+	model2only
89	-	model2only
-3	-	model2only
-3	-	model2only
29	-	model2only
29	-	model2only
-32	+	model2only
-1	-	model2only
-55	+	model2only
-35	-	model2only
-9	-	model2only
-32	+	model2only
-32	+	model2only
83	+	model2only
-164	+	model2only
80	+	model2only
-44	+	model2only
90	+	model2only
176	+	model2only
2	+	model2only
-237	-	model2only
119	-	model2only
65	-	model2only
92	+	model2only
81	-	model2only
8	-	model2only
120	+	model2only
1	+	model2only
-106	+	model2only
130	+	model2only
130	+	model2only
-35	+	model2only
-185	-	model2only
166	-	model2only
62	-	model2only
62	-	model2only
-160	-	model2only
-7	-	model2only
-7	-	model2only
-28	-	model2only
-26	-	model2only
-8	-	model2only
-41	+	model2only
67	+	model2only
-5	+	model2only
-5	+	model2only
5	+	model2only
-27	+	model2only
74	+	model2only
0	+	model2only
-124	+	model2only
33	+	model2only
33	+	model2only
-19	+	model2only
-146	+	model2only
-34	+	model2only
121	-	model2only
-7	-	model2only
-15	-	model2only
170	+	model2only
170	+	model2only
-88	+	model2only
-73	+	model2only
-84	-	model2only
51	+	model2only
-39	-	model2only
-39	+	model2only
94	+	model2only
212	+	model2only
142	+	model2only
142	+	model2only
67	-	model2only
67	-	model2only
-5	-	model2only
-5	-	model2only
-11	-	model2only
-9	-	model2only
-52	-	model2only
-1	-	model2only
-1	-	model2only
-32	-	model2only
-32	-	model2only
-16	-	model2only
37	-	model2only
-104	+	model2only
45	+	model2only
45	+	model2only
45	+	model2only
6	+	model2only
-53	+	model2only
-89	+	model2only
52	+	model2only
-108	+	model2only
71	+	model2only
185	+	model2only
185	+	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
97	-	model2only
111	-	model2only
111	-	model2only
67	-	model2only
7	+	model2only
148	+	model2only
-14	-	model2only
-205	-	model2only
62	-	model2only
144	+	model2only
144	+	model2only
144	+	model2only
-60	+	model2only
-227	+	model2only
-44	+	model2only
227	+	model2only
202	+	model2only
176	+	model2only
-52	-	model2only
-52	-	model2only
-1	+	model2only
92	+	model2only
-25	+	model2only
-4	+	model2only
112	+	model2only
-57	+	model2only
-27	+	model2only
-205	+	model2only
65	-	model2only
-137	-	model2only
-87	-	model2only
80	-	model2only
-29	-	model2only
-189	+	model2only
-189	+	model2only
-84	-	model2only
-47	+	model2only
51	+	model2only
51	+	model2only
-76	+	model2only
35	+	model2only
55	-	model2only
-4	-	model2only
-62	+	model2only
-62	+	model2only
92	+	model2only
-19	+	model2only
81	-	model2only
129	+	model2only
116	+	model2only
-85	+	model2only
-85	+	model2only
-104	+	model2only
-34	+	model2only
-49	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-82	+	model2only
19	+	model2only
19	+	model2only
19	+	model2only
111	-	model2only
111	-	model2only
-49	+	model2only
43	-	model2only
-19	+	model2only
-89	+	model2only
71	+	model2only
76	+	model2only
-105	-	model2only
97	-	model2only
58	-	model2only
-146	+	model2only
187	-	model2only
-50	+	model2only
-151	+	model2only
89	-	model2only
-68	+	model2only
-84	-	model2only
47	+	model2only
47	+	model2only
165	+	model2only
165	+	model2only
49	+	model2only
49	+	model2only
7	+	model2only
-59	-	model2only
-59	-	model2only
-82	-	model2only
7	+	model2only
7	+	model2only
19	-	model2only
-31	-	model2only
14	-	model2only
-6	+	model2only
-191	-	model2only
74	+	model2only
98	+	model2only
98	+	model2only
98	+	model2only
-108	+	model2only
35	+	model2only
55	-	model2only
3	+	model2only
-104	+	model2only
-60	+	model2only
-44	+	model2only
-138	-	model2only
176	+	model2only
34	-	model2only
-14	-	model2only
-43	-	model2only
47	+	model2only
47	+	model2only
120	+	model2only
-47	+	model2only
80	-	model2only
-25	-	model2only
50	+	model2only
-136	-	model2only
-130	+	model2only
-130	+	model2only
-73	+	model2only
-84	-	model2only
19	-	model2only
19	-	model2only
19	-	model2only
51	+	model2only
2	+	model2only
-62	+	model2only
-62	+	model2only
-77	-	model2only
-34	+	model2only
-238	-	model2only
-236	-	model2only
-6	+	model2only
-204	+	model2only
-35	-	model2only
-35	-	model2only
169	+	model2only
116	+	model2only
-27	-	model2only
-85	+	model2only
-85	+	model2only
-104	+	model2only
-60	+	model2only
-60	+	model2only
-60	+	model2only
-44	+	model2only
-73	-	model2only
-138	-	model2only
176	+	model2only
67	-	model2only
32	+	model2only
-15	+	model2only
-49	+	model2only
-8	-	model2only
103	+	model2only
-15	-	model2only
-13	-	model2only
62	-	model2only
-25	-	model2only
-62	+	model2only
58	-	model2only
4	-	model2only
117	+	model2only
-44	+	model2only
-44	+	model2only
19	-	model2only
-138	-	model2only
5	+	model2only
-62	+	model2only
-62	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-238	-	model2only
19	-	model2only
-31	-	model2only
14	-	model2only
-236	-	model2only
-6	+	model2only
-2	-	model2only
-95	-	model2only
-95	-	model2only
-50	+	model2only
-151	+	model2only
0	+	model2only
-60	+	model2only
-60	+	model2only
-44	+	model2only
-138	-	model2only
176	+	model2only
-222	+	model2only
-158	+	model2only
-41	-	model2only
-109	+	model2only
-37	-	model2only
4	-	model2only
4	-	model2only
-25	-	model2only
-25	-	model2only
45	+	model2only
45	+	model2only
-74	-	model2only
-50	-	model2only
-93	-	model2only
-93	-	model2only
-95	-	model2only
-95	-	model2only
-18	-	model2only
98	-	model2only
22	+	model2only
125	+	model2only
-50	+	model2only
-151	+	model2only
-89	+	model2only
-62	+	model2only
-62	+	model2only
5	+	model2only
98	-	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-155	+	model2only
74	+	model2only
98	+	model2only
98	+	model2only
-151	+	model2only
89	-	model2only
154	-	model2only
-27	-	model2only
62	-	model2only
-31	-	model2only
-21	+	model2only
-11	-	model2only
-89	+	model2only
-32	+	model2only
71	+	model2only
90	+	model2only
185	+	model2only
-165	-	model2only
218	+	model2only
80	+	model2only
-227	+	model2only
-44	+	model2only
176	+	model2only
-5	+	model2only
103	+	model2only
37	+	model2only
-15	-	model2only
-13	-	model2only
37	-	model2only
78	-	model2only
-50	+	model2only
-151	+	model2only
-28	-	model2only
59	+	model2only
-91	+	model2only
-91	+	model2only
0	+	model2only
-109	+	model2only
-49	+	model2only
55	+	model2only
-62	+	model2only
-62	+	model2only
-21	-	model2only
3	-	model2only
-25	-	model2only
170	+	model2only
3	-	model2only
-138	-	model2only
47	-	model2only
-28	+	model2only
-35	-	model2only
-35	-	model2only
83	+	model2only
83	+	model2only
47	+	model2only
47	+	model2only
-12	-	model2only
-108	+	model2only
-14	-	model2only
-15	+	model2only
17	+	model2only
-50	+	model2only
-151	+	model2only
-93	-	model2only
-93	-	model2only
-95	-	model2only
-95	-	model2only
168	-	model2only
-121	-	model2only
60	-	model2only
74	+	model2only
96	+	model2only
98	+	model2only
91	+	model2only
22	+	model2only
-2	+	model2only
52	+	model2only
-108	+	model2only
-92	+	model2only
-128	-	model2only
185	+	model2only
185	+	model2only
185	+	model2only
-138	-	model2only
-165	-	model2only
97	-	model2only
-21	-	model2only
-12	-	model2only
8	+	model2only
-124	+	model2only
-1	+	model2only
-1	+	model2only
98	-	model2only
-11	-	model2only
144	-	model2only
-34	+	model2only
-114	+	model2only
-138	-	model2only
-54	+	model2only
-109	+	model2only
1	+	model2only
-9	+	model2only
-9	+	model2only
25	+	model2only
213	+	model2only
24	+	model2only
24	+	model2only
37	+	model2only
37	+	model2only
1	-	model2only
83	+	model2only
83	+	model2only
104	+	model2only
81	+	model2only
-68	-	model2only
-14	-	model2only
-89	-	model2only
74	+	model2only
-84	-	model2only
-19	+	model2only
-124	+	model2only
2	+	model2only
-12	-	model2only
-124	+	model2only
-76	-	model2only
-7	-	model2only
-63	+	model2only
188	+	model2only
32	+	model2only
74	+	model2only
-107	-	model2only
-84	-	model2only
-8	-	model2only
70	+	model2only
0	+	model2only
-49	+	model2only
-62	-	model2only
-125	-	model2only
-81	+	model2only
64	-	model2only
-86	-	model2only
-50	+	model2only
-50	+	model2only
-50	+	model2only
-151	+	model2only
-151	+	model2only
-151	+	model2only
-1	+	model2only
-39	-	model2only
22	+	model2only
-24	+	model2only
7	+	model2only
-51	-	model2only
-51	-	model2only
-32	-	model2only
12	+	model2only
-125	-	model2only
-125	-	model2only
-12	-	model2only
93	-	model2only
74	+	model2only
31	+	model2only
98	+	model2only
-6	+	model2only
-47	-	model2only
-35	+	model2only
-182	-	model2only
80	+	model2only
-227	+	model2only
-44	+	model2only
-44	+	model2only
90	+	model2only
176	+	model2only
2	+	model2only
124	+	model2only
-19	+	model2only
-51	-	model2only
-56	-	model2only
-56	-	model2only
39	+	model2only
-124	+	model2only
71	+	model2only
49	+	model2only
42	+	model2only
-134	+	model2only
-6	-	model2only
50	+	model2only
-25	-	model2only
40	+	model2only
-86	+	model2only
166	-	model2only
166	-	model2only
121	-	model2only
-7	-	model2only
108	-	model2only
86	+	model2only
86	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-46	-	model2only
-40	-	model2only
-111	-	model2only
-111	-	model2only
120	+	model2only
57	+	model2only
-82	+	model2only
-53	+	model2only
148	+	model2only
-27	-	model2only
-68	-	model2only
-14	-	model2only
-14	-	model2only
-14	-	model2only
-14	-	model2only
-15	+	model2only
-24	+	model2only
0	+	model2only
-20	+	model2only
-20	+	model2only
74	+	model2only
89	+	model2only
89	+	model2only
-46	-	model2only
-46	-	model2only
87	-	model2only
70	+	model2only
11	+	model2only
11	+	model2only
11	+	model2only
-47	+	model2only
51	+	model2only
221	+	model2only
-134	+	model2only
-2	+	model2only
-202	+	model2only
-109	+	model2only
5	-	model2only
130	+	model2only
130	+	model2only
-76	-	model2only
-57	-	model2only
-55	+	model2only
-18	+	model2only
-214	+	model2only
-1	+	model2only
-104	+	model2only
89	+	model2only
74	+	model2only
125	+	model2only
70	+	model2only
-47	+	model2only
56	+	model2only
-76	+	model2only
-28	+	model2only
-50	+	model2only
-151	+	model2only
101	-	model2only
89	-	model2only
-39	-	model2only
30	-	model2only
62	+	model2only
62	+	model2only
-100	-	model2only
-111	-	model2only
43	-	model2only
-59	-	model2only
-59	-	model2only
-55	+	model2only
-125	-	model2only
-125	-	model2only
18	+	model2only
157	+	model2only
-35	-	model2only
56	-	model2only
83	+	model2only
47	+	model2only
47	+	model2only
-23	-	model2only
-26	-	model2only
-154	+	model2only
-88	+	model2only
-3	+	model2only
-293	+	model2only
-72	+	model2only
62	-	model2only
108	+	model2only
28	+	model2only
82	-	model2only
19	+	model2only
74	+	model2only
-39	-	model2only
139	+	model2only
139	+	model2only
-182	-	model2only
95	-	model2only
-124	+	model2only
14	-	model2only
-15	+	model2only
74	+	model2only
238	+	model2only
-84	-	model2only
-9	-	model2only
-9	-	model2only
93	-	model2only
70	+	model2only
-47	+	model2only
51	+	model2only
62	-	model2only
-89	+	model2only
71	+	model2only
-138	-	model2only
-62	+	model2only
-62	+	model2only
37	+	model2only
-62	-	model2only
-125	-	model2only
-125	-	model2only
-9	+	model2only
115	+	model2only
-49	-	model2only
67	-	model2only
64	-	model2only
-86	-	model2only
-122	+	model2only
7	+	model2only
-25	-	model2only
-164	+	model2only
-60	+	model2only
80	+	model2only
-44	+	model2only
90	+	model2only
2	+	model2only
-39	-	model2only
19	+	model2only
-68	+	model2only
99	+	model2only
-9	+	model2only
67	-	model2only
220	+	model2only
17	+	model2only
62	-	model2only
-11	-	model2only
-18	-	model2only
10	-	model2only
-232	+	model2only
-25	-	model2only
37	-	model2only
-111	-	model2only
-34	+	model2only
130	+	model2only
130	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-164	+	model2only
-60	+	model2only
-60	+	model2only
80	+	model2only
28	+	model2only
-44	+	model2only
90	+	model2only
29	-	model2only
-17	-	model2only
-17	-	model2only
176	+	model2only
124	+	model2only
-4	-	model2only
-10	-	model2only
-124	+	model2only
71	+	model2only
56	+	model2only
-82	+	model2only
-68	-	model2only
-92	-	model2only
-15	-	model2only
-69	+	model2only
-87	+	model2only
-25	-	model2only
-25	-	model2only
1	+	model2only
1	+	model2only
-34	+	model2only
121	-	model2only
-7	-	model2only
108	-	model2only
-36	+	model2only
-71	-	model2only
50	+	model2only
-111	-	model2only
-36	-	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
42	-	model2only
-108	+	model2only
81	+	model2only
-68	-	model2only
-14	-	model2only
-14	-	model2only
141	-	model2only
-92	-	model2only
17	+	model2only
-89	+	model2only
-15	+	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
76	-	model2only
-17	-	model2only
-154	+	model2only
-88	+	model2only
154	+	model2only
-50	-	model2only
-95	-	model2only
-95	-	model2only
-18	-	model2only
10	-	model2only
-232	+	model2only
50	+	model2only
88	+	model2only
19	-	model2only
13	-	model2only
-150	+	model2only
57	+	model2only
103	+	model2only
75	+	model2only
-15	-	model2only
-13	-	model2only
-81	+	model2only
103	+	model2only
-151	+	model2only
89	-	model2only
-71	-	model2only
-71	-	model2only
94	+	model2only
-23	-	model2only
154	+	model2only
-41	-	model2only
-59	-	model2only
24	+	model2only
-109	+	model2only
235	+	model2only
0	+	model2only
-109	+	model2only
0	+	model2only
-125	-	model2only
-125	-	model2only
-81	+	model2only
-89	+	model2only
71	+	model2only
186	+	model2only
59	+	model2only
185	+	model2only
185	+	model2only
210	+	model2only
210	+	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
-165	-	model2only
97	-	model2only
-89	+	model2only
-108	+	model2only
71	+	model2only
185	+	model2only
-59	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
97	-	model2only
-62	+	model2only
-62	+	model2only
-94	-	model2only
-94	-	model2only
-106	+	model2only
-35	-	model2only
-152	-	model2only
-152	-	model2only
-32	+	model2only
-32	+	model2only
-164	+	model2only
24	+	model2only
80	+	model2only
-44	+	model2only
90	+	model2only
-17	-	model2only
176	+	model2only
-60	+	model2only
80	+	model2only
-44	+	model2only
-44	+	model2only
90	+	model2only
176	+	model2only
-28	+	model2only
-71	-	model2only
-151	+	model2only
5	+	model2only
101	-	model2only
89	-	model2only
15	-	model2only
-47	-	model2only
129	+	model2only
129	+	model2only
-1	+	model2only
-49	+	model2only
-19	-	model2only
-59	-	model2only
-59	-	model2only
73	+	model2only
-25	-	model2only
-77	+	model2only
-151	+	model2only
89	-	model2only
1	+	model2only
121	+	model2only
-55	+	model2only
19	+	model2only
19	+	model2only
-35	-	model2only
-11	-	model2only
-32	-	model2only
-32	-	model2only
-65	-	model2only
83	+	model2only
83	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
42	-	model2only
21	+	model2only
-24	+	model2only
55	+	model2only
55	+	model2only
-158	+	model2only
-50	-	model2only
-95	-	model2only
-95	-	model2only
10	-	model2only
-232	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-76	-	model2only
5	+	model2only
5	+	model2only
-27	+	model2only
-27	+	model2only
74	+	model2only
-113	+	model2only
-71	-	model2only
-109	+	model2only
64	-	model2only
-93	-	model2only
-93	-	model2only
-95	-	model2only
-95	-	model2only
-18	-	model2only
-167	+	model2only
-15	+	model2only
51	+	model2only
51	+	model2only
-76	+	model2only
24	+	model2only
24	+	model2only
-35	-	model2only
-62	+	model2only
-62	+	model2only
-151	+	model2only
-158	+	model2only
-89	+	model2only
30	+	model2only
174	+	model2only
185	+	model2only
3	-	model2only
210	+	model2only
210	+	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
97	-	model2only
-109	+	model2only
235	+	model2only
-68	+	model2only
-9	+	model2only
59	+	model2only
59	+	model2only
32	+	model2only
39	+	model2only
19	+	model2only
7	+	model2only
-71	-	model2only
-109	+	model2only
-151	+	model2only
135	+	model2only
135	+	model2only
101	-	model2only
12	-	model2only
89	-	model2only
15	-	model2only
59	+	model2only
-89	+	model2only
174	+	model2only
185	+	model2only
3	-	model2only
-135	-	model2only
-135	-	model2only
-138	-	model2only
76	-	model2only
-165	-	model2only
-151	+	model2only
5	+	model2only
5	+	model2only
89	-	model2only
-1	+	model2only
59	+	model2only
67	-	model2only
116	-	model2only
-41	-	model2only
-59	-	model2only
-59	-	model2only
-106	+	model2only
-35	-	model2only
83	+	model2only
109	+	model2only
47	+	model2only
-15	+	model2only
-24	+	model2only
1	+	model2only
-106	+	model2only
-106	+	model2only
-66	-	model2only
-66	-	model2only
83	+	model2only
83	+	model2only
47	+	model2only
47	+	model2only
-117	-	model2only
-56	-	model2only
-182	-	model2only
95	-	model2only
-41	-	model2only
-59	-	model2only
-59	-	model2only
16	+	model2only
-29	-	model2only
60	-	model2only
74	+	model2only
67	-	model2only
64	-	model2only
-122	+	model2only
-53	+	model2only
182	+	model2only
-14	-	model2only
-14	-	model2only
74	+	model2only
91	+	model2only
-111	-	model2only
115	+	model2only
-49	-	model2only
67	-	model2only
62	-	model2only
-46	+	model2only
-1	+	model2only
-7	-	model2only
-89	+	model2only
-32	+	model2only
71	+	model2only
59	+	model2only
30	+	model2only
-138	-	model2only
76	-	model2only
-165	-	model2only
-9	+	model2only
115	+	model2only
-7	-	model2only
-122	+	model2only
-25	-	model2only
-25	-	model2only
167	-	model2only
13	+	model2only
40	+	model2only
-49	+	model2only
-41	-	model2only
-41	-	model2only
-59	-	model2only
7	+	model2only
7	+	model2only
22	+	model2only
-76	-	model2only
-70	+	model2only
74	+	model2only
125	+	model2only
-84	-	model2only
70	+	model2only
-47	+	model2only
51	+	model2only
51	+	model2only
56	+	model2only
-76	+	model2only
-15	+	model2only
74	+	model2only
238	+	model2only
-84	-	model2only
70	+	model2only
51	+	model2only
51	+	model2only
-76	+	model2only
124	+	model2only
-4	-	model2only
-124	+	model2only
71	+	model2only
8	+	model2only
8	+	model2only
74	+	model2only
125	+	model2only
70	+	model2only
-47	+	model2only
56	+	model2only
-4	+	model2only
-151	+	model2only
5	+	model2only
5	+	model2only
101	-	model2only
12	-	model2only
89	-	model2only
59	+	model2only
-11	-	model2only
-9	-	model2only
71	-	model2only
-88	+	model2only
-82	+	model2only
-14	-	model2only
-14	-	model2only
-15	+	model2only
44	+	model2only
-111	-	model2only
121	+	model2only
37	+	model2only
-62	-	model2only
50	+	model2only
-111	-	model2only
-82	-	model2only
-82	-	model2only
-130	+	model2only
130	+	model2only
-76	-	model2only
119	-	model2only
-39	-	model2only
-106	+	model2only
-55	+	model2only
-35	-	model2only
-21	-	model2only
-9	-	model2only
83	+	model2only
83	+	model2only
47	+	model2only
-17	-	model2only
-154	+	model2only
62	-	model2only
-122	+	model2only
-94	-	model2only
-94	-	model2only
-25	-	model2only
-15	+	model2only
74	+	model2only
-46	-	model2only
-84	-	model2only
70	+	model2only
11	+	model2only
11	+	model2only
11	+	model2only
11	+	model2only
-47	+	model2only
51	+	model2only
51	+	model2only
-134	+	model2only
-76	+	model2only
-15	+	model2only
-84	-	model2only
11	+	model2only
11	+	model2only
11	+	model2only
11	+	model2only
-47	+	model2only
51	+	model2only
51	+	model2only
221	+	model2only
130	+	model2only
-35	-	model2only
-35	-	model2only
-35	-	model2only
-37	-	model2only
42	-	model2only
74	+	model2only
-17	-	model2only
-88	+	model2only
154	+	model2only
105	+	model2only
-50	-	model2only
-18	-	model2only
-62	-	model2only
