tissue	model	variable	value
Thyroid	model1	2	0.285894206549118
Liver	model1	2	0.160202360876897
Skin_Sun_Exposed_Lower_leg	model1	2	0.276671771311894
Artery_Tibial	model1	2	0.296354166666667
Stomach	model1	2	0.284263959390863
Vagina	model1	2	0.117408906882591
Esophagus_Muscularis	model1	2	0.327615780445969
Nerve_Tibial	model1	2	0.29320987654321
Brain_Putamen_basal_ganglia	model1	2	0.170616113744076
Muscle_Skeletal	model1	2	0.255681818181818
Brain_Nucleus_accumbens_basal_ganglia	model1	2	0.218457943925234
Brain_Frontal_Cortex_BA9	model1	2	0.191689008042895
Pituitary	model1	2	0.256973795435334
Spleen	model1	2	0.252450980392157
Esophagus_Gastroesophageal_Junction	model1	2	0.308488612836439
Small_Intestine_Terminal_Ileum	model1	2	0.189189189189189
Artery_Aorta	model1	2	0.301033591731266
Brain_Anterior_cingulate_cortex_BA24	model1	2	0.155518394648829
Whole_Blood	model1	2	0.252714708785785
Cells_EBV-transformed_lymphocytes	model1	2	0.190217391304348
Esophagus_Mucosa	model1	2	0.304609218436874
Heart_Atrial_Appendage	model1	2	0.280944625407166
Brain_Cerebellar_Hemisphere	model1	2	0.216844143272023
Prostate	model1	2	0.255696202531646
Cells_Cultured_fibroblasts	model1	2	0.247541931752458
Minor_Salivary_Gland	model1	2	0.154731457800512
Testis	model1	2	0.234633885622662
Breast_Mammary_Tissue	model1	2	0.316723940435281
Brain_Cerebellum	model1	2	0.22970479704797
Kidney_Corte	model1	2	0.0472727272727273
Adrenal_Gland	model1	2	0.234967622571693
Brain_Spinal_cord_cervical_c-1	model2	2	0.128571428571429
Brain_Amygdala	model2	2	0.132075471698113
Artery_Coronary	model2	2	0.233576642335766
Uterus	model2	2	0.2
Colon_Sigmoid	model2	2	0.318627450980392
Skin_Not_Sun_Exposed_Suprapubic	model2	2	0.291845493562232
Brain_Hypothalamus	model2	2	0.175824175824176
Pancreas	model2	2	0.283333333333333
Heart_Left_Ventricle	model2	2	0.283333333333333
Lung	model2	2	0.293650793650794
Brain_Caudate_basal_ganglia	model2	2	0.179245283018868
Ovary	model2	2	0.257425742574257
Adipose_Visceral_Omentum	model2	2	0.299065420560748
Brain_Hippocampus	model2	2	0.136986301369863
Brain_Substantia_nigra	model2	2	0.0925925925925926
Brain_Corte	model2	2	0.259259259259259
Colon_Transverse	model2	2	0.381720430107527
Thyroid	model2	2	0.252279635258359
Liver	model2	2	0.183908045977011
Skin_Sun_Exposed_Lower_leg	model2	2	0.272
Artery_Tibial	model2	2	0.268370607028754
Stomach	model2	2	0.281481481481481
Vagina	model2	2	0.188888888888889
Esophagus_Muscularis	model2	2	0.290697674418605
Nerve_Tibial	model2	2	0.286206896551724
Brain_Putamen_basal_ganglia	model2	2	0.164556962025316
Muscle_Skeletal	model2	2	0.220224719101124
Brain_Nucleus_accumbens_basal_ganglia	model2	2	0.161290322580645
Brain_Frontal_Cortex_BA9	model2	2	0.137931034482759
Pituitary	model2	2	0.314465408805031
Spleen	model2	2	0.297709923664122
Esophagus_Gastroesophageal_Junction	model2	2	0.352657004830918
Small_Intestine_Terminal_Ileum	model2	2	0.30188679245283
Artery_Aorta	model2	2	0.333333333333333
Brain_Anterior_cingulate_cortex_BA24	model2	2	0.121212121212121
Whole_Blood	model2	2	0.271276595744681
Cells_EBV-transformed_lymphocytes	model2	2	0.178082191780822
Esophagus_Mucosa	model2	2	0.31055900621118
Heart_Atrial_Appendage	model2	2	0.3125
Brain_Cerebellar_Hemisphere	model2	2	0.207317073170732
Prostate	model2	2	0.240875912408759
Cells_Cultured_fibroblasts	model2	2	0.150943396226415
Minor_Salivary_Gland	model2	2	0.22680412371134
Testis	model2	2	0.242857142857143
Breast_Mammary_Tissue	model2	2	0.30622009569378
Brain_Cerebellum	model2	2	0.209039548022599
Kidney_Corte	model2	2	0.0454545454545455
Adrenal_Gland	model2	2	0.3046875
Brain_Spinal_cord_cervical_c-1	model1	3	0.0482374768089054
Brain_Amygdala	model1	3	0.0400890868596882
Artery_Coronary	model1	3	0.0593385214007782
Uterus	model1	3	0.0268542199488491
Colon_Sigmoid	model1	3	0.118798043326345
Skin_Not_Sun_Exposed_Suprapubic	model1	3	0.267533936651584
Brain_Hypothalamus	model1	3	0.0520231213872832
Pancreas	model1	3	0.105610561056106
Heart_Left_Ventricle	model1	3	0.139308855291577
Lung	model1	3	0.262237762237762
Brain_Caudate_basal_ganglia	model1	3	0.0978260869565217
Ovary	model1	3	0.0792377131394183
Adipose_Visceral_Omentum	model1	3	0.226019845644983
Brain_Hippocampus	model1	3	0.064891846921797
Brain_Substantia_nigra	model1	3	0.0347394540942928
Brain_Corte	model1	3	0.119386637458927
Colon_Transverse	model1	3	0.132553606237817
Thyroid	model1	3	0.344248530646516
Liver	model1	3	0.0910623946037099
Skin_Sun_Exposed_Lower_leg	model1	3	0.32312404287902
Artery_Tibial	model1	3	0.304166666666667
Stomach	model1	3	0.0727580372250423
Vagina	model1	3	0.0269905533063428
Esophagus_Muscularis	model1	3	0.204116638078902
Nerve_Tibial	model1	3	0.32010582010582
Brain_Putamen_basal_ganglia	model1	3	0.0600315955766193
Muscle_Skeletal	model1	3	0.328835227272727
Brain_Nucleus_accumbens_basal_ganglia	model1	3	0.10981308411215
Brain_Frontal_Cortex_BA9	model1	3	0.0857908847184987
Pituitary	model1	3	0.144547759932375
Spleen	model1	3	0.124183006535948
Esophagus_Gastroesophageal_Junction	model1	3	0.127674258109041
Small_Intestine_Terminal_Ileum	model1	3	0.0343035343035343
Artery_Aorta	model1	3	0.179586563307494
Brain_Anterior_cingulate_cortex_BA24	model1	3	0.0585284280936455
Whole_Blood	model1	3	0.330700888450148
Cells_EBV-transformed_lymphocytes	model1	3	0.148913043478261
Esophagus_Mucosa	model1	3	0.21376085504342
Heart_Atrial_Appendage	model1	3	0.162866449511401
Brain_Cerebellar_Hemisphere	model1	3	0.18973862536302
Prostate	model1	3	0.0573839662447257
Cells_Cultured_fibroblasts	model1	3	0.355696934644303
Minor_Salivary_Gland	model1	3	0.0485933503836317
Testis	model1	3	0.347942276857296
Breast_Mammary_Tissue	model1	3	0.186139747995418
Brain_Cerebellum	model1	3	0.200184501845018
Kidney_Corte	model1	3	0
Adrenal_Gland	model1	3	0.104532839962997
Brain_Spinal_cord_cervical_c-1	model2	3	0.0857142857142857
Brain_Amygdala	model2	3	0.0377358490566038
Artery_Coronary	model2	3	0.124087591240876
Uterus	model2	3	0.05
Colon_Sigmoid	model2	3	0.25
Skin_Not_Sun_Exposed_Suprapubic	model2	3	0.369098712446352
Brain_Hypothalamus	model2	3	0.0769230769230769
Pancreas	model2	3	0.141666666666667
Heart_Left_Ventricle	model2	3	0.194444444444444
Lung	model2	3	0.416666666666667
Brain_Caudate_basal_ganglia	model2	3	0.10377358490566
Ovary	model2	3	0.0891089108910891
Adipose_Visceral_Omentum	model2	3	0.341121495327103
Brain_Hippocampus	model2	3	0.0136986301369863
Brain_Substantia_nigra	model2	3	0.0555555555555556
Brain_Corte	model2	3	0.154320987654321
Colon_Transverse	model2	3	0.204301075268817
Thyroid	model2	3	0.486322188449848
Liver	model2	3	0.172413793103448
Skin_Sun_Exposed_Lower_leg	model2	3	0.432
Artery_Tibial	model2	3	0.440894568690096
Stomach	model2	3	0.17037037037037
Vagina	model2	3	0.0555555555555556
Esophagus_Muscularis	model2	3	0.368217054263566
Nerve_Tibial	model2	3	0.427586206896552
Brain_Putamen_basal_ganglia	model2	3	0.10126582278481
Muscle_Skeletal	model2	3	0.431460674157303
Brain_Nucleus_accumbens_basal_ganglia	model2	3	0.137096774193548
Brain_Frontal_Cortex_BA9	model2	3	0.172413793103448
Pituitary	model2	3	0.232704402515723
Spleen	model2	3	0.137404580152672
Esophagus_Gastroesophageal_Junction	model2	3	0.227053140096618
Small_Intestine_Terminal_Ileum	model2	3	0.0754716981132075
Artery_Aorta	model2	3	0.282700421940928
Brain_Anterior_cingulate_cortex_BA24	model2	3	0.101010101010101
Whole_Blood	model2	3	0.436170212765957
Cells_EBV-transformed_lymphocytes	model2	3	0.205479452054795
Esophagus_Mucosa	model2	3	0.354037267080745
Heart_Atrial_Appendage	model2	3	0.244791666666667
Brain_Cerebellar_Hemisphere	model2	3	0.26219512195122
Prostate	model2	3	0.138686131386861
Cells_Cultured_fibroblasts	model2	3	0.433962264150943
Minor_Salivary_Gland	model2	3	0.0824742268041237
Testis	model2	3	0.442857142857143
Breast_Mammary_Tissue	model2	3	0.301435406698565
Brain_Cerebellum	model2	3	0.299435028248588
Kidney_Corte	model2	3	0
Adrenal_Gland	model2	3	0.1328125
