occurence_group N model2only_mean sd se ci
1 48 0.085262204940147 0.00420484591093987 0.000606917229645508 0.0012209599793585
2 48 0.0788170402806345 0.00880512805413655 0.00127091076307622 0.00255674267141564
3 47 0.0769116995283298 0.00699434355824842 0.00102022986365726 0.00205361620244187
