Sample	HELIX	SpliceAI
GSM4117243	0.9164813816365145	0.8782292785506637
GSM4117882	0.9134841306091096	0.8680434983896073
SRR14637661	0.8850349840114428	0.8058716352963383
GSM4117903	0.9262818278294036	0.8673621762480912
GSM4118072	0.8957530659152118	0.8512794752020096
GSM4118003	0.8957571434022614	0.8359857888402004
GSM4117921	0.9065404730844859	0.8545692695377967
GSM4117494	0.9471172952001538	0.8748918890981996
SRR14638435	0.9049701953636575	0.8055168847841141
GSM4117201	0.9194892899071474	0.8597893420576981
GSM4117697	0.9113688555351032	0.8700682725776419
GSM4117787	0.9201948581909156	0.8441250534724263
GSM4117772	0.925691189436991	0.8557741133584664
GSM4117380	0.9179146112371658	0.869967487890235
GSM4117219	0.9036239607295473	0.8610203778917052
GSM4117685	0.9356669969702789	0.8726933029547451
GSM4117557	0.9102478000437461	0.8597652190073961
GSM4117849	0.892397701805148	0.8704430708411278
SRR14848451	0.8975727923655967	0.8650015682332581
SRR14834595	0.9574986360435899	0.9119524937866237
GSM4117840	0.9252523894756567	0.8635413782055312
GSM4117617	0.9230914288867494	0.8752655502762764
GSM4117715	0.920829957418047	0.8718663912923545
GSM4117213	0.9242355366158012	0.8786765442314136
GSM4117228	0.9116364050120207	0.8571709210353147
SRR14638420	0.9132277808269825	0.8538162950901198
GSM4117437	0.913952230673431	0.8653981003103004
GSM4117733	0.9208070399328026	0.864631525303354
GSM4117805	0.9209527153587095	0.8637200539599814
