occurence_group N model1_mean sd se ci
1 48 0.217077054013718 0.0156522356528219 0.00225920561689404 0.00454493546835158
2 48 0.161275928555457 0.0125864948575872 0.00181670404854545 0.00365473713591577
3 47 0.144962624650466 0.0156237548528819 0.00227895886878081 0.0045873062770873
