epoch	idx	cluster	tx	variable	value
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000521335.1	cluster_0	ENST00000521335.1	true	0.3831289
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000359530.7	cluster_0	ENST00000359530.7	true	0.6168711
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000521335.1	cluster_6	ENST00000521335.1	true	0.17202665
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000359530.7	cluster_6	ENST00000359530.7	true	0.82797337
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000521335.1	cluster_0	ENST00000521335.1	pred	0.352998288510542
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000359530.7	cluster_0	ENST00000359530.7	pred	0.647001711489458
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000521335.1	cluster_6	ENST00000521335.1	pred	0.105445098398328
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000359530.7	cluster_6	ENST00000359530.7	pred	0.894554901601672
