Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000272004.1	0.0	0.0	0.0
ENSG00000189339.12	22.467	19.3284	23.1067
ENSG00000269737.2	3.37635	2.03805	1.85041
ENSG00000215914.4	0.0859925	0.183902	0.09757
ENSG00000008128.23	21.3544	18.07	15.5542
ENSG00000227775.3	7.09261	4.41072	5.85897
ENSG00000215790.8	4.57694	2.67747	3.73984
ENSG00000008130.15	56.0279	53.8763	68.6404
ENSG00000078369.18	232.406	193.233	149.37
ENSG00000231050.2	0.873749	0.834042	0.967753
ENSG00000169885.10	1.27274	0.942006	0.643687
ENSG00000178821.13	1.39088	1.38084	44.122
ENSG00000142609.20	0.0472675	0.0557	0.328368
ENSG00000233542.2	0.0447435	0.038323	0.044479
ENSG00000187730.9	0.456239	0.41035	1.08403
ENSG00000226969.1	0.0	0.0	0.039419
ENSG00000067606.17	0.286214	0.922484	5.01574
ENSG00000271806.1	0.012604	0.027363	0.089454
ENSG00000182873.5	1.82053	1.97882	3.02309
ENSG00000162585.17	10.9573	9.22231	10.6429
ENSG00000234396.3	0.680345	0.323671	0.175798
ENSG00000157933.10	68.842	58.483	19.5686
ENSG00000287356.1	1.14445	1.01368	0.191246
ENSG00000116151.14	1.22877	1.11526	1.34784
ENSG00000272161.1	0.149016	0.189684	0.0
ENSG00000269896.2	1.57013	1.59914	1.50138
ENSG00000272420.1	1.03641	0.883911	0.863604
ENSG00000157916.20	60.5676	55.4415	81.6998
ENSG00000157911.11	16.4149	12.805	23.4913
ENSG00000149527.18	0.653513	1.19186	2.28563
ENSG00000224387.1	0.0463	0.0	0.18252
ENSG00000229393.1	0.0680405	0.060091	0.199576
ENSG00000157881.16	15.5912	13.1357	12.5639
ENSG00000197921.6	0.260902	0.382756	0.030008
ENSG00000272449.2	1.644	1.2601	0.88606
ENSG00000238164.6	2.74341	2.37324	1.89246
ENSG00000157873.18	97.9307	77.0094	89.7019
ENSG00000225931.3	0.36499	0.274163	0.068552
ENSG00000228037.1	2.22084	1.12427	0.140436
ENSG00000289610.1	0.157104	0.103474	0.0
ENSG00000157870.17	16.4678	13.0752	26.9057
ENSG00000142606.16	0.527887	0.545934	0.313661
ENSG00000237058.1	0.0	0.0	0.0
ENSG00000215912.12	0.668787	0.315701	0.406289
ENSG00000285945.1	0.0	0.0	0.0
ENSG00000283259.1	0.0	0.0	0.0
ENSG00000233234.1	0.0	0.0	0.0
ENSG00000287396.1	0.0	0.0	0.0
ENSG00000231630.1	0.0	0.0	0.0
ENSG00000284745.1	0.0	0.0	0.0
ENSG00000169717.7	0.0	0.0	0.0
ENSG00000177133.13	1.8377	1.43506	0.31381
ENSG00000142611.17	2.52484	1.5207	0.286273
ENSG00000283572.1	0.0	0.0	0.0
ENSG00000226286.1	0.0	0.0	0.0
ENSG00000279839.1	0.013163	0.0	0.0
ENSG00000272235.1	0.024625	0.023023	0.0
ENSG00000287828.1	0.15018	0.190115	0.105216
ENSG00000286518.1	0.467596	0.110189	0.018889
ENSG00000130762.15	4.02851	2.35277	0.605706
ENSG00000272088.1	0.566051	0.469382	0.087126
ENSG00000162591.16	29.6926	37.0719	4.85723
ENSG00000207776.1	0.0	0.0	0.0
ENSG00000238260.2	1.48782	0.716518	1.26552
ENSG00000158109.15	94.499	59.5428	55.0687
ENSG00000116213.16	23.5381	19.4912	18.3826
ENSG00000078900.15	0.070163	0.078943	0.059577
ENSG00000227589.1	0.0	0.0	0.0
ENSG00000235131.1	0.0	0.0	0.0
ENSG00000227372.12	12.8218	10.6531	9.83047
ENSG00000162592.10	0.0	0.0	0.0
ENSG00000235169.11	1.24574	1.93168	1.74572
ENSG00000130764.10	31.0926	24.5253	28.0283
ENSG00000266075.2	0.605649	0.447265	0.565753
ENSG00000272153.1	4.29053	3.83428	3.96951
ENSG00000116198.14	10.1299	9.0348	10.7566
ENSG00000169598.17	5.77312	5.02088	4.34345
ENSG00000198912.12	16.3616	12.8786	11.5122
ENSG00000236423.7	0.131891	0.167147	0.283249
ENSG00000233304.7	0.0	0.0	0.0
ENSG00000226374.3	0.0	0.0	0.0
ENSG00000284668.2	0.0	0.0	0.0
ENSG00000284703.1	0.0	0.0	0.0
ENSG00000229280.1	0.0	0.0	0.0
ENSG00000235054.4	0.0	0.0	0.0
ENSG00000284694.1	0.0	0.0	0.0
ENSG00000227169.2	0.0	0.0	0.0
ENSG00000232596.3	0.0	0.0	0.0
ENSG00000196581.11	0.549191	0.540184	0.131026
ENSG00000287586.1	0.0	0.0	0.0
ENSG00000284739.1	0.0	0.0	0.0
ENSG00000284674.1	0.0	0.0	0.0
ENSG00000231510.1	0.0	0.0	0.0
ENSG00000284616.1	0.0	0.0	0.0
ENSG00000284692.2	0.0	0.0	0.0
ENSG00000284666.1	0.0	0.0	0.0
ENSG00000260972.1	0.0	0.0	0.0
ENSG00000283356.1	0.0	0.0	0.0
ENSG00000236948.2	0.0	0.061192	0.0
ENSG00000264341.1	0.0	0.0	0.0
ENSG00000264101.1	0.0	0.0	0.0
ENSG00000131697.18	8.19663	8.4787	4.93705
ENSG00000069424.16	6.99109	5.81206	3.46458
ENSG00000116254.18	0.180944	0.184358	0.155824
ENSG00000116251.11	258.51	230.009	132.257
ENSG00000226944.1	0.888287	1.01437	1.74736
ENSG00000158286.13	4.83569	8.85926	8.25768
ENSG00000116237.16	39.9706	35.5937	38.277
ENSG00000225077.3	0.0423895	0.04081	0.035372
ENSG00000173673.8	0.0	0.0	0.0
ENSG00000158292.7	20.3197	20.1734	1.7113
ENSG00000097021.20	10.9042	8.7215	9.19926
ENSG00000271746.1	0.758868	0.377088	0.505654
ENSG00000069812.11	0.068389	0.035563	0.026526
ENSG00000187017.18	0.223945	0.184414	1.25589
ENSG00000265392.1	0.0	0.0	0.0
ENSG00000231868.1	0.0	0.0	0.0
ENSG00000215788.11	13.5137	15.6328	12.1945
ENSG00000171680.23	16.6068	15.9456	13.0516
ENSG00000162408.11	8.3211	7.14052	7.43119
ENSG00000253022.1	0.0	0.0	0.0
ENSG00000229519.2	0.412834	0.258448	0.35046
ENSG00000173662.21	0.155658	0.096172	0.409238
ENSG00000204859.13	23.6426	18.8767	19.9704
ENSG00000162413.17	33.5241	26.8463	31.3155
ENSG00000116273.6	22.5581	21.3821	14.4848
ENSG00000041988.16	15.9321	13.2921	13.6989
ENSG00000007923.17	15.9801	13.7826	21.2288
ENSG00000228750.7	0.0	0.0	0.020085
ENSG00000284744.1	0.0	0.0	0.0
ENSG00000237436.1	0.245309	0.154351	0.297197
ENSG00000171735.19	6.17813	5.46132	5.3892
ENSG00000227950.1	0.0	0.0	0.0
ENSG00000237365.1	0.0	0.0	0.0
ENSG00000207056.1	0.0	0.0	0.0
